"oz1","oz2","oz3","oz4","oz5","oz6","oz7","oz8","oz9","oz10","oz11","oz12","oz13","oz14","oz15","oz16","oz17","oz18","oz19","oz20","oz21","oz22","oz23","oz24","oz25","oz26","oz27","oz28","oz29","oz30","oz31","oz32","oz33","oz34","oz35","oz36","oz37","oz38","oz39","oz40","oz41","oz42","oz43","oz44","oz45","oz46","oz47","oz48","oz49","oz50","oz51","oz52","oz53","oz54","oz55","oz56","oz57","oz58","oz59","oz60","oz61","oz62","oz63","oz64","oz65","oz66","oz67","oz68","oz69","oz70","oz71","oz72","oz73","oz74","oz75","oz76","oz77","oz78","oz79","oz80","oz81","oz82","oz83","oz84","oz85","oz86","oz87","oz88","oz89","oz90","oz91","oz92","oz93","oz94","oz95","oz96","oz97","oz98","oz99","oz100","oz101"
4.9881647e-001,4.0391296e-001,1.0979586e+000,7.9431538e-001,9.0369591e-001,1.1936950e+000,1.4571252e+000,-1.3672011e+000,1.2150933e+000,1.2985191e+000,-4.8422317e-001,-1.4169119e+000,-8.2364486e-001,3.2683047e-001,-9.6647590e-001,8.3778077e-001,-1.3614541e+000,1.7565750e+000,-1.1755012e+000,1.0709037e+000,-1.5787321e+000,7.2560784e-002,1.2797783e+000,-2.1639572e-001,1.0563482e+000,5.1378468e-001,-1.1773823e+000,-1.5086429e-001,-1.4251209e+000,1.4575023e+000,-3.7926673e-001,1.4555192e+000,9.2934295e-001,-7.5517517e-001,1.6398055e+000,1.5630015e+000,-1.3423933e+000,-1.6642522e+000,1.1294280e+000,6.9184652e-001,8.0168766e-002,7.8397377e-001,-4.7890811e-001,5.1684568e-001,-6.5266267e-001,-1.2403253e+000,1.4884247e+000,-1.5758004e+000,-9.5382180e-001,-1.2657361e+000,1.1694626e+000,-1.4850960e+000,-6.9896961e-001,-4.6551938e-001,-1.1445278e+000,-1.3041098e+000,-1.6919140e+000,-1.1716706e+000,-1.4588452e+000,-4.9172392e-001,-1.2352067e+000,-1.3955912e+000,1.7655198e+000,1.2628124e-001,1.3981281e+000,-1.2994512e-001,-4.4262042e-002,-1.4211596e+000,-6.0846791e-001,3.9837960e-001,-1.2506236e+000,-1.2838914e+000,6.7708583e-001,-8.2579689e-001,1.1920358e-001,-2.2911800e-001,1.0905262e+000,1.1365234e-001,-1.0051032e+000,-4.6487915e-001,1.3217651e+000,-6.5428276e-001,-1.0186199e+000,-2.8485066e-002,-1.6836772e+000,1.1771998e+000,-3.5832958e-001,1.5392710e+000,3.5319714e-001,1.3028239e+000,3.1397136e-001,-6.0445665e-001,-4.4147201e-001,-1.5854624e+000,-4.3877780e-001,6.9934135e-001,-3.2994151e-001,-5.7322561e-001,1.3707930e+000,-3.6504634e-001,-4.6197282e-001
-3.1530204e-002,2.8591919e-001,1.2528622e+000,1.4327620e+000,7.3053380e-001,6.0403376e-001,8.8587499e-001,-5.0570316e-001,-1.4964055e+000,-1.2170485e-001,-1.6600647e-002,7.1400441e-001,-1.3616111e+000,-2.9510270e-001,-2.1035165e-001,6.3299555e-001,-6.3425442e-001,1.7131912e+000,-1.5069609e-001,-1.4429426e+000,1.5232668e+000,1.2889264e+000,-6.6937084e-001,-3.4379331e-002,-1.2293654e-002,7.6741249e-001,9.1076576e-001,-1.5530685e+000,1.2744888e+000,-1.6251315e+000,1.7209623e+000,1.5960998e-001,4.8520496e-001,-8.3980203e-001,1.4769739e+000,1.0759181e+000,-1.0640875e+000,1.5254350e+000,7.4324948e-001,-1.4759212e+000,-8.8998963e-001,1.3214645e+000,7.7818535e-001,8.7802736e-001,-1.1282379e+000,1.1636627e+000,9.7330467e-002,-3.3413156e-001,-1.2836951e+000,-9.2516455e-001,4.2227102e-001,-1.0844533e+000,-9.2830297e-001,-4.8689403e-001,1.4399391e+000,5.2488466e-001,1.2590441e+000,1.6711894e+000,9.0208079e-001,8.1371510e-001,-1.2086517e+000,1.2320511e+000,-4.0998702e-001,9.2018042e-001,8.9318951e-002,3.5355942e-001,-8.0453701e-001,1.4120873e+000,-1.6117319e+000,3.0439736e-001,-1.4413577e+000,1.4563542e+000,4.4330787e-001,-8.1610857e-001,-1.4343306e+000,-1.5898720e+000,-1.4918896e-001,-7.8701223e-001,-1.0860658e+000,7.1613497e-001,-1.2780689e+000,-1.3819582e+000,1.0766777e+000,1.6517094e+000,1.0083625e+000,6.7914775e-001,7.3239619e-001,-7.7569184e-001,5.4205054e-001,9.6408709e-001,1.6623522e+000,5.6406547e-001,-9.0329766e-001,-3.6265366e-001,-4.8689384e-001,3.1301184e-001,-3.8241486e-001,3.4878626e-001,-4.9996276e-002,2.0406394e-001,8.4187527e-001
8.8597672e-001,1.6930520e+000,1.7472110e+000,5.8583265e-001,1.8661133e+000,-8.4801774e-001,2.7645581e-001,-1.3632147e+000,-7.4733176e-002,-7.4107682e-001,-1.3626073e+000,-2.7401095e-003,-1.2768306e+000,-8.7192901e-001,1.3770898e+000,4.4984678e-001,9.5897830e-001,-1.1138548e+000,6.7282718e-001,-1.2522429e+000,6.7517080e-002,1.4725055e+000,1.1368799e+000,1.5325290e-001,5.3141190e-001,7.9455528e-001,-3.8340007e-002,1.4058925e+000,6.8313524e-001,-1.1336072e+000,5.1920276e-001,4.5777656e-001,-1.2365885e+000,1.0326415e+000,-7.5056445e-001,-2.2968968e-001,-1.0500148e+000,1.9221880e-001,2.6614183e-001,-9.0411440e-001,-1.5830920e-003,-2.6431206e-001,-1.9891529e-001,1.2250009e+000,1.3644364e+000,-1.2455181e-001,1.0375211e+000,1.3536972e+000,-1.1358049e-001,-2.2040702e-001,7.7213214e-001,-1.1194125e-001,4.0906831e-001,6.5907337e-001,2.8803131e-001,1.2288056e+000,1.0112939e+000,-1.7863402e-001,-1.0152445e-001,-1.5976353e+000,1.5525282e+000,-1.7570290e+000,-6.4958191e-002,1.2137454e+000,1.4928375e-001,7.5822672e-001,-3.3531005e-001,3.9170122e-001,6.9400001e-001,-8.9648988e-001,3.7129640e-001,1.4030491e+000,-1.3279360e+000,8.5260945e-001,-8.3436486e-001,3.0145675e-001,1.4132008e+000,-1.5136173e+000,1.2520289e+000,1.5575742e+000,-3.4272662e-001,9.3582893e-001,1.1851211e+000,6.4031754e-001,1.0766986e+000,-6.9722358e-001,1.6195278e+000,6.4913623e-001,-1.0422208e+000,6.3977205e-001,1.0313886e+000,9.2174040e-001,1.4006140e+000,1.7907376e-001,-7.3706645e-001,-1.1366046e+000,1.6242182e+000,3.6477472e-001,6.7006840e-001,1.2740758e+000,3.1548125e-001
-1.6545754e-001,3.8167758e-001,-2.7661110e-001,-3.1425078e-001,-2.9715826e-001,8.7507426e-001,5.8843090e-001,1.3855762e+000,9.6958301e-001,-2.7230604e-001,1.3325915e+000,1.4515642e-001,1.5343374e+000,-6.2137081e-001,1.3891366e+000,-1.4787298e+000,-1.0658304e-001,6.8027336e-002,1.6482149e+000,1.5912431e+000,3.5110643e-002,1.6116342e+000,5.9859737e-001,5.7026350e-001,8.3779310e-001,-1.4375405e+000,1.2257483e+000,-1.0892080e+000,5.6479350e-001,6.0933571e-001,-3.2825714e-001,-1.5635428e+000,1.6912380e+000,-7.4245619e-001,3.8685681e-001,1.4781321e+000,-1.4843641e+000,5.0690529e-001,1.5334614e+000,-7.3857124e-001,8.9169976e-001,-1.9791695e-001,1.2271831e-001,-4.7678245e-001,-1.1044825e+000,1.3277246e+000,-4.1227050e-001,-6.2575144e-001,-2.4798539e-001,1.6321791e+000,6.4012122e-001,-2.6720756e-001,-1.3767644e+000,-6.8382370e-001,-1.7078363e+000,1.4869680e+000,1.2567461e+000,1.5069818e+000,-7.7384385e-001,8.8722521e-001,1.1892380e+000,1.6538189e+000,-1.6296652e+000,7.3980332e-001,-7.0963646e-001,-1.4944907e+000,-2.1950360e-001,-1.0608432e+000,6.0761942e-001,1.3846452e+000,1.0836400e+000,9.8597651e-001,3.3387953e-001,5.3461388e-002,1.3252679e+000,9.9976365e-001,-1.3363744e+000,-2.2177418e-002,5.1102267e-001,3.5731107e-001,4.7206226e-001,-1.2744848e+000,-1.3311557e+000,8.1227180e-001,-6.3776733e-001,9.9517893e-001,4.0206833e-001,-5.8941651e-001,1.0149342e+000,1.1725105e+000,-7.5377539e-001,-1.2134383e+000,8.1808807e-001,-3.5388314e-001,-1.0332257e+000,1.3353703e+000,7.0621811e-001,-1.4991689e-002,1.3546422e+000,-1.6320357e+000,8.4076052e-002
-2.1552143e+000,-1.4306454e+000,-3.7461496e-001,-3.6783162e-001,-1.1458276e+000,-1.4787864e-001,1.5726188e+000,-1.1969116e+000,8.7167160e-001,-8.9873336e-001,7.5338788e-001,5.1546086e-001,1.2853973e-001,2.6641476e-001,1.6027161e+000,2.2939489e-001,3.1653343e-001,1.7644713e+000,-1.4758227e+000,-8.1182019e-001,1.3278200e+000,-1.2151142e+000,-2.6150676e-001,8.4806832e-001,6.3178518e-001,-1.0223683e+000,-4.6897761e-001,7.8900475e-001,-1.4743975e+000,-1.1795786e+000,1.4174581e+000,7.8638525e-001,1.6415467e+000,1.6845674e+000,1.0120559e+000,-1.6055018e+000,1.6204489e+000,5.7015897e-001,-1.5553018e+000,1.3749804e+000,1.9984108e-001,9.3611683e-001,1.7626343e+000,1.4088131e+000,-4.3012722e-002,-9.9368711e-001,1.2744283e+000,1.1421104e-001,4.2912307e-001,7.2897130e-001,1.2858249e+000,4.7774693e-001,1.7034145e+000,-7.2108601e-001,4.2259427e-001,1.6584645e+000,-1.6818913e+000,1.2125587e-001,-3.6664502e-002,-2.5180216e-001,-1.5406381e-001,-1.5543382e+000,-6.6723543e-001,1.2595429e+000,-1.3003632e+000,-3.8368514e-002,-1.6339568e+000,9.3487348e-001,2.3793089e-001,6.9148553e-002,1.2764890e+000,1.7098490e+000,1.6555092e+000,1.2684774e+000,-1.3220565e-001,-9.5644195e-001,-1.1703834e+000,-1.0483631e-001,-6.2268397e-002,-1.0261572e-001,-8.9724504e-001,-1.4650199e-002,1.3388128e+000,-1.5122286e+000,1.4440587e+000,-1.5214700e+000,-2.8795698e-001,1.1788278e+000,-1.6506046e+000,1.0651054e+000,-1.6718001e+000,-7.7233393e-001,1.3347160e+000,-1.2468076e+000,-1.5566815e+000,-9.2118690e-001,-1.6930488e+000,4.7159518e-001,9.5887733e-001,1.0148105e-001,-8.1591611e-001
-1.1826135e+000,-1.6546196e+000,-3.8053062e-001,-1.1088363e+000,-7.9947079e-001,-1.0267701e+000,-1.1741470e+000,4.2205163e-002,-1.5457002e+000,5.5952758e-001,1.3004997e+000,-6.6476206e-001,-6.6736683e-001,-8.9084668e-001,3.9715119e-001,1.8793871e-001,-1.0291834e+000,-6.5207433e-001,-3.3795035e-001,-6.8663375e-001,1.1109365e+000,8.8506533e-001,1.4792154e+000,-1.6541688e+000,-1.8271128e-001,-4.0075841e-001,-1.3202793e+000,1.1885778e+000,-1.6147763e+000,5.8196675e-001,3.7429508e-001,5.0115163e-001,-1.6197568e+000,-1.1001622e+000,1.5750641e+000,-4.5642652e-002,-4.0179123e-001,6.9290104e-001,-6.1200021e-001,1.0811587e+000,1.5987428e+000,-5.1189277e-001,1.4454513e+000,3.6304612e-001,-3.9465190e-002,-6.0581196e-001,-8.2331632e-001,-1.4752948e+000,-5.0694129e-001,-1.5904850e+000,6.6348131e-001,1.5452254e+000,-4.0659896e-001,7.8651164e-001,1.6039737e+000,7.3302177e-001,5.5576084e-001,9.8422518e-002,-9.7552204e-001,1.6279945e+000,-1.1912851e+000,-8.0984201e-001,1.3389024e+000,-7.3328039e-001,5.4203680e-001,-8.2263043e-001,-1.4473850e+000,-4.7326471e-001,-1.2019512e-001,-8.4403550e-001,1.2262612e+000,1.1379859e+000,-1.3970849e+000,1.6888326e+000,-7.2986922e-001,-1.3806145e+000,-3.1259208e-001,1.0693659e+000,-4.1859691e-001,-1.0656905e+000,1.5341197e+000,-1.2864805e+000,-1.5137124e+000,1.1729554e+000,-1.5557846e+000,-1.1355246e+000,-7.5341108e-001,1.2565935e-001,1.2297776e+000,1.4262709e+000,1.5608254e+000,-4.7194057e-001,1.5971061e+000,-9.0685756e-001,-1.6851283e+000,-1.3322396e+000,7.8650072e-001,1.4786395e+000,1.6212623e+000,-3.3585158e-001,-8.3873434e-001
-2.3124027e+000,-1.6690455e+000,-1.4683949e+000,3.9720539e-002,-4.1673026e-001,6.0505419e-001,4.7427963e-002,-7.0195395e-001,4.2751321e-001,9.5130516e-001,-1.6069505e+000,4.9495599e-001,-1.4516854e+000,-3.6160355e-001,-1.5590229e+000,6.4938203e-001,-8.7577657e-001,8.5704022e-001,-1.3746908e-001,1.6067603e+000,3.0225093e-001,2.6324085e-001,-9.7080590e-001,-1.9460471e-001,6.9900367e-001,8.0083433e-001,-4.3372571e-001,2.7152050e-002,-1.7350443e-001,-7.1736775e-001,1.7037883e+000,1.5463097e+000,1.0592073e+000,-3.4562202e-001,3.4726838e-001,-9.9938727e-001,1.6317310e+000,-1.5029535e+000,1.0604223e+000,1.1614862e+000,1.2151697e+000,1.2762693e+000,-1.0220432e-002,-1.1597691e-001,-3.2806353e-002,2.2932845e-001,1.0757367e+000,-6.5750484e-003,3.3212574e-001,8.8198941e-001,-1.4766981e+000,-7.9928121e-001,-8.3807980e-001,-1.3898614e+000,-1.5584481e+000,-9.6394830e-001,-4.3358004e-001,-3.5610943e-001,2.2332383e-001,-1.4534233e-001,1.7283420e-001,5.5813555e-001,3.9595614e-001,1.4276702e+000,-1.3685538e+000,4.7100857e-001,-1.1157244e+000,-1.6440945e+000,-3.7724360e-001,-1.5630751e+000,1.5653535e+000,1.0246628e+000,7.9561621e-001,1.1451475e+000,-1.0167994e+000,9.8056280e-001,7.3603122e-001,-1.1381599e+000,-2.1546596e-001,-6.7738555e-001,1.5269186e+000,-3.4314190e-001,-4.2826578e-001,1.3553240e-001,-3.9904105e-001,-7.2041861e-001,1.6402027e+000,1.4544483e+000,-1.4968550e+000,3.4987569e-001,-1.2285025e+000,-1.5268321e-001,3.8270817e-001,-1.3856336e+000,-1.4579011e+000,9.3151557e-001,-4.5536710e-001,-1.5506210e+000,-1.2128543e+000,8.3631363e-001,1.5598199e-001
-1.3146349e+000,-1.4670913e+000,-3.7577177e-001,1.4087140e+000,-4.3953650e-001,-2.5107610e-002,1.3405968e+000,4.3719665e-001,-9.0327725e-001,-7.9541573e-001,-3.4275859e-001,4.4376720e-001,4.0531947e-001,2.7203181e-002,-1.6396809e+000,-1.3967087e+000,1.3467871e+000,3.3687498e-001,-4.5959773e-001,1.5061760e+000,-8.2558983e-001,-1.1580480e+000,-4.2487744e-001,-1.1666056e+000,9.8463698e-001,2.6750630e-002,5.2979957e-001,-1.2485337e-001,1.5132300e+000,1.2902315e+000,-1.3925815e+000,1.0228426e+000,4.7715980e-001,-7.6246304e-001,7.3309482e-001,1.0603485e-001,7.4553047e-001,4.5544491e-001,1.0009266e+000,-3.5388077e-001,5.3230981e-001,1.1262578e+000,-1.0754418e+000,1.1621196e+000,-2.9274700e-001,1.5796030e+000,-7.8120961e-001,5.7272931e-001,8.4136257e-001,-2.4388961e-002,-1.1641698e+000,-1.4064571e+000,1.8097016e-001,-3.8248901e-001,1.1706901e+000,1.4769924e-001,8.6901577e-001,-1.3918451e+000,-1.4860093e+000,-5.4639013e-001,-8.3604414e-001,4.8526566e-001,1.0975354e+000,8.2870422e-001,-1.4972981e+000,8.1131893e-001,9.1387735e-001,-2.6310205e-001,-4.9206833e-001,2.6347303e-001,1.1107834e+000,-4.7606049e-001,-7.8915206e-001,-1.2924418e+000,-2.7389642e-001,-1.6339086e+000,-4.7771328e-001,-1.1697461e+000,-2.0575306e-001,-1.4535199e+000,-8.8521465e-001,8.4877655e-001,1.7064300e+000,3.6387432e-001,9.8608560e-001,2.3605607e-001,-8.5286218e-001,1.3420950e+000,-3.4635919e-001,-8.1213352e-001,8.4991174e-001,-1.2831915e+000,-8.7970665e-001,1.1371988e+000,9.3435874e-001,-6.2763217e-001,-1.3770311e+000,-1.2877629e+000,3.1674586e-001,-1.6931198e+000,1.1311862e-001
1.3972942e+000,6.8983430e-001,-6.5089206e-001,-1.1096556e+000,-7.3490901e-001,-9.8079619e-001,-1.4563048e+000,-8.6637717e-001,-4.8487494e-001,-1.6449014e+000,-8.0571035e-001,6.4889987e-001,9.3234510e-001,1.3830594e+000,1.0916675e+000,1.6377356e+000,-7.8289442e-001,1.6342316e+000,1.2216173e+000,-1.1633161e+000,1.5654253e+000,-1.5664224e+000,2.8785588e-001,1.1111386e+000,9.4504855e-001,-9.0186063e-001,-1.3691400e+000,-8.0656912e-001,-1.6954877e+000,1.0023177e+000,7.9447270e-001,-1.5345492e+000,1.3693212e+000,-2.4018849e-001,1.6511496e+000,3.5424295e-001,1.7241748e+000,1.1428722e+000,2.0009628e-001,-1.4827655e+000,8.6633170e-001,1.9856903e-001,-1.2562943e+000,1.3302999e+000,1.4337156e+000,-3.2147004e-002,-8.6010395e-001,2.7796356e-001,-5.2093238e-001,6.3325872e-002,1.3829509e+000,6.1591593e-001,-8.9390299e-001,1.5485314e-001,1.2872277e+000,1.3100249e-001,1.1458287e+000,-1.9123209e-001,-4.0183146e-001,-1.0368765e+000,-1.4233377e+000,-1.7281292e+000,-1.1536976e+000,1.0239225e+000,-1.3012746e+000,1.6612591e+000,-4.5990865e-001,4.7721436e-001,-1.1965522e+000,1.7259340e-001,-4.6471446e-001,-1.2037227e+000,-1.4822623e+000,2.4437879e-001,8.6199673e-001,-6.2245747e-001,-7.2520655e-001,-2.8203450e-001,-1.9339128e-001,1.4095626e+000,-1.0661129e+000,2.0588511e-001,6.4343785e-001,-3.6839374e-001,-2.5974639e-001,1.6585388e+000,-5.2128021e-001,8.0957884e-001,9.7143946e-002,4.3609596e-002,-7.5789677e-001,7.8383404e-001,-1.6872227e+000,5.8352105e-001,-1.6267231e+000,-7.3350512e-002,-1.6541347e-001,-1.0657154e+000,-5.1230690e-001,-2.8599026e-001,-2.4626059e+000
5.9451326e-001,1.4799735e+000,2.4236907e+000,1.4897186e+000,2.4373717e+000,2.2343945e-001,1.2360898e-001,1.0926745e+000,-9.1723214e-001,3.9487091e-001,7.9637566e-001,-5.3190709e-003,-1.4310073e+000,7.5861630e-001,1.5961277e+000,-1.1288641e+000,1.6009514e+000,-1.5099001e+000,1.5184316e+000,9.2498989e-001,-2.9289572e-001,-1.3993023e+000,1.6205241e+000,-1.2098844e+000,-1.5654355e+000,2.0384970e-001,1.8856988e-001,-2.3766694e-001,-1.1001423e+000,5.8756237e-001,-3.0705071e-001,1.2457339e+000,-1.0218543e+000,1.5055946e+000,-7.9398062e-001,1.0575024e+000,9.8425179e-001,7.5619678e-001,8.4105083e-001,-5.2302566e-001,-3.8549520e-001,4.6416589e-001,-5.3765553e-001,1.6492267e+000,-1.7904144e+000,-8.0491022e-001,1.5829606e+000,1.5075414e+000,1.2557032e+000,3.5533715e-001,5.4872822e-001,1.2564730e+000,-4.0778328e-001,-1.6601835e-001,-1.7695199e+000,5.5490400e-001,8.4349811e-003,3.1802504e-001,4.7921868e-001,1.6154625e+000,-7.7792125e-001,1.4740571e+000,-1.3461579e+000,-1.1597036e+000,8.9992263e-001,-1.3564443e+000,-7.1242389e-001,-1.0458136e+000,-1.6225846e+000,1.5530598e-001,1.2855584e+000,4.4303563e-001,5.4105003e-001,5.6572180e-001,1.5308553e+000,-1.6265385e+000,1.3994394e+000,7.4826968e-001,5.1060153e-002,1.3313103e+000,-2.3190246e-001,-7.2113856e-001,1.4042073e+000,1.5438189e+000,5.9008916e-001,3.8813249e-001,1.0097185e+000,-1.0627610e+000,-7.4318579e-001,1.7362556e+000,2.2182529e-001,-1.0401388e+000,2.3583009e-001,8.8008859e-001,-7.4637790e-001,6.0616205e-002,-7.2117093e-001,-3.4461262e-001,-5.1597137e-001,-2.4786334e-001,-5.5816446e-002
